Loan_ID,Application_Date,Customer_Age,Gender,Marital_Status,Education_Level,Employment_Type,Annual_Income,Credit_Score,Existing_Loans_Count,Number_of_Dependents,Home_Ownership,Region,Loan_Purpose,Loan_Amount,Loan_Term_Months,Interest_Rate,Monthly_Installment,Debt_to_Income_Ratio,Loan_Status,Repayment_Status
LN304894,2024-01-02,47,Female,Single,PhD,Salaried,49966.8,679.0,3,1,Rent,Asia,Medical,12507.38,84,8.88,200.47,28.8,Approved,On-Time
LN302224,2024-01-03,49,Female,Married,Bachelor's,Salaried,32191.07,634.0,2,2,Mortgage,North America,Personal,15923.65,180,9.59,167.14,29.42,Approved,On-Time
LN301053,2024-01-03,26,Male,Single,Master's,Salaried,34559.8,642.0,3,0,Rent,Europe,Auto,10144.47,36,9.82,326.48,47.46,Approved,On-Time
LN300053,2024-01-03,44,Female,Married,Master's,Business Owner,73222.74,767.0,2,1,Own,Australia,Debt Consolidation,6308.9,36,6.52,193.42,14.43,Approved,On-Time
LN305690,2024-01-03,21,Male,Married,Bachelor's,Salaried,24658.12,661.0,4,0,Rent,Africa,Auto,23078.16,60,8.63,474.93,48.64,Approved,On-Time
LN300608,2024-01-03,21,Male,Single,High School,Salaried,33701.13,674.0,2,0,Mortgage,Europe,Business,78506.04,36,8.25,2469.16,95.0,Approved,On-Time
LN305124,2024-01-03,21,Female,Single,Master's,Salaried,52890.03,734.0,1,2,Own,North America,Auto,32827.21,48,6.56,779.4,25.62,Approved,Late Payments
LN300669,2024-01-03,37,Male,Married,High School,Self-Employed,,760.0,0,2,Rent,North America,Medical,8054.31,60,7.36,160.86,4.74,Approved,On-Time
LN300624,2024-01-03,32,Female,Single,Bachelor's,Salaried,17020.42,809.0,4,0,Own,North America,Personal,11035.09,48,5.16,254.93,74.06,Approved,On-Time
LN304677,2024-01-03,41,Male,Married,Master's,Business Owner,79206.57,652.0,3,2,Mortgage,Asia,Debt Consolidation,10033.42,36,9.46,321.21,10.55,Approved,On-Time
LN300076,2024-01-04,34,Female,Widowed,Master's,Self-Employed,51194.15,706.0,5,4,Mortgage,Australia,Business,98423.55,24,9.24,4507.3,95.0,Pending,N/A
LN305552,2024-01-04,47,Female,Married,Master's,Salaried,21020.48,603.0,0,0,Rent,Asia,Personal,11480.2,60,11.23,250.93,14.32,Approved,On-Time
LN302723,2024-01-04,29,Male,Single,Bachelor's,Salaried,32468.86,584.0,1,1,Rent,South America,Personal,14340.7,48,10.37,366.27,21.34,Approved,On-Time
LN305222,2024-01-04,57,Female,Single,Master's,Salaried,63677.8,711.0,2,3,Rent,Europe,Personal,6877.21,60,6.44,134.37,9.65,Approved,Late Payments
LN303936,2024-01-04,41,Male,Married,Bachelor's,Salaried,31854.94,641.0,0,2,Mortgage,South America,Home,134016.5,120,6.9,1549.15,58.36,Approved,Late Payments
LN303286,2024-01-04,31,Female,Single,Master's,Business Owner,73933.32,751.0,2,1,Rent,South America,Personal,25166.16,84,6.96,379.33,12.47,Approved,On-Time
LN303079,2024-01-04,27,Male,Married,Bachelor's,Self-Employed,40979.98,724.0,2,4,Mortgage,Asia,Home,102501.3,24,6.47,4564.66,95.0,Approved,On-Time
LN306832,2024-01-04,38,Male,Single,Bachelor's,Salaried,68846.06,657.0,2,2,Mortgage,Asia,Auto,13244.2,60,9.54,278.41,10.8,Approved,Late Payments
LN302131,2024-01-04,65,Female,Divorced,Bachelor's,Business Owner,50213.27,774.0,2,1,Mortgage,Europe,Business,125071.92,36,6.85,3853.29,95.0,Pending,N/A
LN305456,2024-01-04,46,Female,Single,High School,Salaried,25141.46,641.0,4,4,Own,South America,Medical,4860.95,60,9.17,101.31,61.18,Pending,N/A
LN303897,2024-01-04,41,Female,Single,PhD,Salaried,71383.73,713.0,1,1,Rent,Asia,Personal,13538.83,240,8.02,113.41,4.68,Approved,On-Time
LN304552,2024-01-04,46,Female,Married,Bachelor's,Salaried,59574.33,698.0,1,3,Mortgage,Asia,Education,10766.03,48,7.72,261.42,7.92,Approved,On-Time
LN303770,2024-01-05,43,Male,Single,Master's,Self-Employed,24251.51,645.0,3,1,Rent,Australia,Home,95640.46,48,8.41,2353.31,95.0,Pending,N/A
LN302993,2024-01-05,37,Male,Married,Bachelor's,Unemployed,11054.08,593.0,1,0,Rent,Europe,Education,30059.97,60,10.74,649.69,89.5,Pending,N/A
LN304003,2024-01-05,52,Male,Single,Bachelor's,Self-Employed,53165.83,695.0,2,3,Rent,North America,Business,94465.33,60,7.04,1872.31,49.41,Approved,Defaulted
LN304286,2024-01-05,33,Female,Single,Bachelor's,Salaried,44802.37,728.0,1,3,Own,South America,Business,81174.32,24,8.27,3681.3,95.0,Approved,Defaulted
LN305768,2024-01-05,37,Male,Single,PhD,Salaried,,602.0,0,0,Mortgage,Asia,Personal,15763.41,180,9.04,160.26,4.72,Approved,On-Time
LN305668,2024-01-05,54,Female,Married,PhD,Salaried,51032.54,658.0,1,2,Rent,Africa,Personal,14923.09,48,9.9,377.77,11.2,Approved,On-Time
LN305476,2024-01-05,37,Female,Married,Master's,Self-Employed,34322.7,665.0,3,0,Mortgage,Africa,Auto,18305.65,12,8.71,1598.4,91.09,Pending,N/A
LN304093,2024-01-05,66,Male,Married,Bachelor's,Salaried,36713.37,778.0,1,1,Rent,North America,Home,237423.85,36,5.31,7148.9,95.0,Approved,On-Time
LN302572,2024-01-05,41,Female,Married,High School,Self-Employed,16889.17,575.0,2,1,Rent,Europe,Debt Consolidation,14251.05,60,11.77,315.35,71.05,Rejected,N/A
LN301917,2024-01-05,37,Male,Married,PhD,Salaried,43622.03,739.0,4,2,Mortgage,Europe,Home,110400.47,180,5.46,899.72,48.77,Pending,N/A
LN303412,2024-01-05,34,Female,Single,Bachelor's,Salaried,24688.63,731.0,0,0,Mortgage,Asia,Auto,49544.7,36,7.65,1544.56,75.07,Approved,On-Time
LN305720,2024-01-05,45,Male,Single,High School,Salaried,26495.7,766.0,5,1,Mortgage,North America,Home,132352.91,24,3.96,5745.06,95.0,Approved,On-Time
LN306215,2024-01-05,38,Male,Widowed,Master's,Business Owner,48125.02,623.0,2,0,Rent,Europe,Education,24736.26,60,8.92,512.52,29.03,Approved,On-Time
LN300554,2024-01-05,44,Female,Married,Master's,Unemployed,8601.41,464.0,2,1,Mortgage,North America,Personal,8608.8,60,13.38,197.56,95.0,Pending,N/A
LN302447,2024-01-05,21,Female,Single,High School,Self-Employed,40182.69,706.0,1,1,Own,Australia,Education,21512.88,180,5.75,178.65,15.47,Approved,On-Time
LN303091,2024-01-06,36,Female,Single,Bachelor's,Salaried,30551.82,694.0,0,1,Mortgage,Africa,Medical,11492.78,24,8.42,521.99,20.5,Approved,Defaulted
LN300839,2024-01-06,21,Female,Single,Bachelor's,Salaried,29739.39,605.0,0,2,Rent,South America,Education,39427.51,60,9.04,819.22,33.06,Approved,Late Payments
LN303370,2024-01-06,55,Female,Single,Bachelor's,Salaried,42698.52,795.0,0,1,Mortgage,North America,Business,93339.32,24,5.1,4099.11,95.0,Approved,On-Time
LN304632,2024-01-06,32,Female,Married,Bachelor's,Salaried,15946.32,677.0,1,2,Own,North America,Personal,16931.51,48,7.74,411.28,53.62,Approved,On-Time
LN305146,2024-01-06,39,Female,Single,High School,Salaried,29032.94,630.0,4,4,Mortgage,Europe,Debt Consolidation,19714.81,120,10.93,270.79,28.14,Approved,On-Time
LN303511,2024-01-06,41,Female,Single,Master's,Salaried,27506.6,750.0,2,3,Own,North America,Personal,21495.09,48,8.14,526.17,32.8,Approved,On-Time
LN302936,2024-01-06,54,Male,Single,High School,Salaried,55851.48,658.0,1,1,Rent,Asia,Business,63186.83,48,8.67,1562.52,37.11,Approved,On-Time
LN300858,2024-01-06,48,Male,Single,Bachelor's,Unemployed,12409.69,651.0,2,4,Own,Asia,Debt Consolidation,14467.21,36,9.99,466.75,73.66,Pending,N/A
LN304080,2024-01-06,31,Female,Single,Bachelor's,Salaried,22098.69,628.0,2,3,Own,Europe,Education,23632.86,24,9.31,1083.03,80.16,Pending,N/A
LN302950,2024-01-06,32,Female,Single,High School,Business Owner,59151.27,762.0,0,4,Mortgage,Europe,Debt Consolidation,13903.4,60,7.51,278.66,5.65,Approved,On-Time
LN301361,2024-01-06,34,Female,Married,High School,Self-Employed,16822.96,509.0,2,0,Mortgage,Europe,Personal,7132.83,60,12.2,159.39,39.83,Approved,Defaulted
LN306639,2024-01-06,38,Male,Single,High School,Salaried,23302.48,665.0,0,0,Rent,North America,Auto,25202.37,48,8.56,621.91,32.03,Approved,On-Time
LN304524,2024-01-07,33,Female,Married,Bachelor's,Salaried,69343.75,688.0,3,0,Own,Asia,Medical,1848.26,36,8.8,58.6,7.87,Approved,On-Time
LN306564,2024-01-07,50,Male,Married,Bachelor's,Business Owner,,725.0,0,2,Own,Asia,Business,160414.06,24,7.57,7223.67,95.0,Approved,On-Time
LN304087,2024-01-07,44,Female,Married,Master's,Self-Employed,38768.14,628.0,4,0,Mortgage,Asia,Personal,10551.05,60,9.55,221.85,23.32,Approved,Late Payments
LN304903,2024-01-07,37,Male,Single,Bachelor's,Business Owner,38630.38,700.0,0,1,Own,Asia,Auto,37582.0,60,7.82,758.79,23.57,Approved,Defaulted
LN304117,2024-01-07,29,Female,Married,High School,Self-Employed,29525.47,741.0,0,4,Rent,Asia,Personal,6198.55,240,7.19,48.77,1.98,Approved,On-Time
LN300213,2024-01-07,21,Female,Married,Bachelor's,Salaried,41034.15,681.0,3,2,Own,South America,Auto,31681.79,240,7.22,249.83,18.01,Approved,On-Time
LN306762,2024-01-07,39,Male,Divorced,Bachelor's,Self-Employed,47982.63,736.0,0,3,Rent,Europe,Personal,18082.78,60,7.23,360.03,9.0,Approved,On-Time
LN300396,2024-01-07,40,Female,Divorced,Bachelor's,Salaried,34075.31,572.0,2,1,Own,Europe,Debt Consolidation,26676.91,36,12.39,891.03,47.29,Approved,On-Time
LN302503,2024-01-07,43,Male,Single,High School,Business Owner,33546.67,720.0,0,1,Own,Australia,Home,62953.73,36,5.52,1901.51,68.02,Approved,On-Time
LN306755,2024-01-08,46,Female,Married,Bachelor's,Salaried,58666.16,722.0,3,1,Own,North America,Business,137312.8,60,7.42,2746.25,63.52,Approved,On-Time
LN304498,2024-01-08,47,Female,Divorced,Bachelor's,Salaried,14844.83,519.0,0,1,Rent,Asia,Medical,8781.87,48,10.32,224.08,18.11,Approved,On-Time
LN302356,2024-01-08,69,Male,Married,Bachelor's,Salaried,23651.17,656.0,3,2,Own,Asia,Education,3986.5,48,8.45,98.17,35.96,Approved,Late Payments
LN302887,2024-01-08,30,Female,Married,PhD,Salaried,83352.36,725.0,0,4,Own,Asia,Auto,35693.8,120,6.24,400.59,5.77,Approved,On-Time
LN300249,2024-01-08,21,Female,Married,High School,Self-Employed,13616.62,578.0,2,1,Mortgage,North America,Home,242722.94,12,9.78,21314.38,95.0,Rejected,N/A
LN304471,2024-01-08,35,Male,Married,High School,Unemployed,12389.02,624.0,1,2,Rent,Asia,Auto,18569.19,24,9.33,851.14,95.0,Pending,N/A
LN302456,2024-01-08,56,Male,Single,Master's,Self-Employed,45233.18,685.0,2,0,Mortgage,Europe,Education,34757.41,60,8.01,704.92,26.42,Approved,On-Time
LN300072,2024-01-08,33,Male,Single,Bachelor's,Business Owner,67682.17,630.0,0,4,Mortgage,Australia,Personal,7063.79,84,9.75,116.36,2.06,Approved,On-Time
LN306527,2024-01-09,38,Female,Widowed,High School,Salaried,40470.48,554.0,1,3,Rent,North America,Home,193414.94,36,9.51,6196.56,95.0,Approved,Defaulted
LN303684,2024-01-09,33,Female,Divorced,High School,Business Owner,40035.96,525.0,0,4,Mortgage,Europe,Medical,5360.36,12,11.28,474.46,14.22,Approved,On-Time
LN304145,2024-01-09,43,Female,Divorced,High School,Salaried,44615.36,773.0,4,1,Own,North America,Personal,20628.91,48,6.76,491.69,26.37,Approved,On-Time
LN301783,2024-01-09,32,Male,Divorced,Bachelor's,Business Owner,51490.85,594.0,1,1,Mortgage,Asia,Debt Consolidation,11285.26,48,9.89,285.63,13.72,Approved,On-Time
LN303166,2024-01-09,43,Female,Single,High School,Salaried,,695.0,1,4,Own,North America,Business,146412.8,24,9.34,6711.69,95.0,Approved,On-Time
LN302496,2024-01-09,21,Male,Married,Bachelor's,Unemployed,8000.0,543.0,5,0,Rent,Asia,Personal,20085.23,36,12.1,668.08,95.0,Rejected,N/A
LN302868,2024-01-09,21,Female,Married,PhD,Salaried,31767.45,616.0,1,0,Rent,Asia,Home,97118.54,36,9.17,3096.03,95.0,Rejected,N/A
LN306578,2024-01-09,38,Male,Married,High School,Self-Employed,13055.31,659.0,0,0,Mortgage,Europe,Personal,10806.92,60,9.43,226.6,20.83,Approved,On-Time
LN303454,2024-01-09,33,Male,Single,High School,Salaried,43840.71,671.0,0,4,Mortgage,Europe,Education,11448.08,48,5.73,267.44,7.32,Approved,On-Time
LN300793,2024-01-09,21,Female,Married,Bachelor's,Salaried,38998.84,762.0,0,0,Mortgage,South America,Medical,10515.6,24,7.57,473.53,14.57,Approved,On-Time
LN304950,2024-01-10,48,Female,Married,Master's,Unemployed,20046.54,648.0,0,0,Own,Asia,Business,169361.11,48,9.07,4220.19,95.0,Pending,N/A
LN301220,2024-01-10,25,Female,Married,Bachelor's,Self-Employed,52311.98,713.0,0,2,Mortgage,Asia,Medical,4475.08,12,7.26,387.75,8.89,Approved,On-Time
LN300614,2024-01-10,46,Female,Married,Bachelor's,Salaried,38461.75,702.0,2,2,Own,North America,Auto,9060.9,84,4.94,127.81,18.39,Approved,Late Payments
LN306334,2024-01-10,39,Male,Single,Master's,Salaried,103750.72,770.0,0,4,Own,Asia,Personal,11706.55,120,6.64,133.76,1.55,Approved,On-Time
LN302430,2024-01-10,37,Female,Married,Bachelor's,Salaried,18598.17,760.0,3,1,Mortgage,Africa,Auto,19920.07,84,6.13,292.25,75.61,Approved,On-Time
LN306332,2024-01-10,51,Male,Married,Master's,Salaried,19208.33,678.0,0,2,Own,Asia,Home,140314.78,120,8.17,1715.04,95.0,Approved,Late Payments
LN305225,2024-01-10,48,Male,Married,Bachelor's,Salaried,27509.38,684.0,1,1,Rent,North America,Medical,12602.34,24,7.97,569.8,39.03,Approved,On-Time
LN304878,2024-01-10,29,Female,Single,Bachelor's,Salaried,28341.79,702.0,0,5,Mortgage,North America,Personal,1391.16,24,7.69,62.72,2.66,Approved,Late Payments
LN304548,2024-01-10,29,Female,Married,Master's,Salaried,30873.67,698.0,2,0,Mortgage,Europe,Auto,34860.0,36,7.48,1084.04,63.99,Approved,Defaulted
LN300933,2024-01-10,52,Female,Married,Bachelor's,Business Owner,39500.39,757.0,2,1,Mortgage,Europe,Personal,21301.97,84,7.35,325.16,20.33,Approved,On-Time
LN300916,2024-01-10,38,Male,Single,Bachelor's,Salaried,16084.4,674.0,1,0,Rent,Europe,Auto,30923.9,60,9.58,650.67,68.99,Pending,N/A
LN301585,2024-01-10,52,Male,Married,Master's,Salaried,87418.54,614.0,1,2,Rent,North America,Business,122273.34,120,11.67,1731.02,28.07,Approved,On-Time
LN304221,2024-01-11,42,Other,Divorced,High School,Unemployed,17947.97,566.0,2,3,Rent,Africa,Personal,19379.47,24,10.26,896.59,95.0,Rejected,N/A
LN300084,2024-01-11,36,Male,Single,Master's,Salaried,41517.87,599.0,4,0,Own,Africa,Home,160899.69,48,10.16,4093.21,95.0,Approved,Late Payments
LN300429,2024-01-11,33,Female,Single,Bachelor's,Salaried,,727.0,0,2,Mortgage,Europe,Education,9454.29,36,7.53,294.22,8.66,Approved,On-Time
LN305360,2024-01-11,29,Male,Married,High School,Business Owner,32974.03,670.0,2,5,Mortgage,Europe,Medical,9115.98,120,9.01,115.53,23.69,Approved,On-Time
LN302859,2024-01-11,38,Male,Married,Bachelor's,Salaried,26408.37,554.0,1,2,Rent,Europe,Home,152838.09,60,10.57,3290.39,95.0,Approved,On-Time
LN306485,2024-01-11,36,Male,Single,Bachelor's,Salaried,59010.52,756.0,0,3,Own,North America,Debt Consolidation,12159.57,240,8.64,106.6,2.17,Approved,On-Time
LN302820,2024-01-11,31,Female,Married,Master's,Business Owner,39557.36,693.0,3,0,Rent,Asia,Home,108094.02,84,6.85,1623.51,61.66,Pending,N/A
LN304604,2024-01-11,21,Female,Single,Bachelor's,Salaried,35717.73,,3,3,Mortgage,Asia,Debt Consolidation,8178.6,84,9.67,134.38,20.74,Approved,Late Payments
LN306691,2024-01-12,21,Male,Married,High School,Salaried,49597.78,636.0,0,1,Mortgage,North America,Personal,9680.49,48,7.73,235.1,5.69,Approved,On-Time
LN301004,2024-01-12,42,Female,Married,High School,Business Owner,78253.09,644.0,0,2,Own,North America,Medical,3313.98,120,8.25,40.65,1.0,Approved,On-Time
LN302673,2024-01-12,35,Female,Married,PhD,Salaried,105141.32,638.0,4,2,Mortgage,North America,Medical,4369.43,12,11.05,386.28,11.12,Approved,On-Time
LN302332,2024-01-12,31,Male,Divorced,Master's,Salaried,47441.61,705.0,4,1,Mortgage,Europe,Personal,15056.5,24,7.91,680.35,49.05,Approved,On-Time
LN302304,2024-01-12,29,Male,Married,Bachelor's,Salaried,36997.25,676.0,1,0,Mortgage,Europe,Medical,12769.98,60,7.36,255.04,13.72,Approved,On-Time
LN305944,2024-01-12,58,Other,Married,Master's,Self-Employed,98160.7,622.0,0,1,Rent,Asia,Personal,11374.64,48,9.45,285.5,3.49,Approved,On-Time
LN302691,2024-01-12,49,Male,Single,High School,Salaried,32830.93,644.0,0,3,Mortgage,Europe,Business,30046.59,12,11.06,2656.41,95.0,Approved,Late Payments
LN305330,2024-01-12,25,Female,Married,Bachelor's,Salaried,29544.86,639.0,0,2,Rent,North America,Business,36935.63,12,8.18,3216.05,95.0,Approved,Defaulted
LN304563,2024-01-12,21,Female,Married,High School,Self-Employed,16117.84,545.0,1,0,Rent,Asia,Auto,22924.78,60,11.72,506.71,44.85,Pending,N/A
LN300845,2024-01-12,33,Male,Single,Master's,Salaried,40058.1,717.0,5,0,Mortgage,Africa,Debt Consolidation,15234.25,120,9.26,195.13,55.76,Approved,On-Time
LN304242,2024-01-12,29,Female,Single,Bachelor's,Salaried,54924.07,740.0,1,2,Rent,North America,Auto,25880.99,48,6.88,618.31,18.18,Approved,On-Time
LN301159,2024-01-12,36,Male,Single,High School,Self-Employed,35464.06,839.0,0,2,Mortgage,Asia,Business,154241.79,180,7.04,1389.82,47.03,Approved,On-Time
LN304175,2024-01-12,51,Female,Married,High School,Salaried,16074.11,,2,0,Rent,Europe,Auto,19994.6,48,6.98,478.61,83.16,Pending,N/A
LN306700,2024-01-12,56,Female,Divorced,Bachelor's,Business Owner,84674.81,721.0,4,2,Rent,Europe,Home,151488.49,60,6.64,2973.99,51.21,Approved,On-Time
LN303356,2024-01-12,25,Female,Single,Master's,Business Owner,64582.33,694.0,0,4,Rent,Asia,Education,19458.71,60,7.62,391.02,7.27,Approved,Late Payments
LN304176,2024-01-12,28,Female,Single,Bachelor's,Business Owner,28552.17,627.0,2,4,Own,Europe,Auto,35365.7,24,8.66,1610.16,89.76,Approved,On-Time
LN301795,2024-01-12,42,Male,Single,High School,Self-Employed,31204.03,690.0,2,2,Rent,Europe,Home,169310.91,24,8.55,7700.01,95.0,Pending,N/A
LN301854,2024-01-13,47,Female,Single,Bachelor's,Salaried,21871.04,574.0,0,2,Mortgage,Africa,Education,15882.96,12,8.84,1387.81,76.15,Approved,Late Payments
LN303141,2024-01-13,42,Female,Married,Bachelor's,Salaried,,611.0,0,2,Own,North America,Auto,35203.35,84,9.01,566.57,16.68,Approved,On-Time
LN304344,2024-01-13,22,Female,Divorced,Bachelor's,Salaried,27898.75,672.0,2,1,Rent,South America,Home,146155.58,120,6.95,1693.23,95.0,Approved,On-Time
LN305717,2024-01-13,45,Female,Married,Master's,Business Owner,103284.1,613.0,0,2,Rent,North America,Home,283186.4,36,8.5,8939.5,95.0,Pending,N/A
LN305112,2024-01-13,22,Male,Single,Master's,Salaried,95498.95,749.0,2,3,Rent,Europe,Personal,21382.47,120,6.49,242.68,9.84,Approved,Late Payments
LN305521,2024-01-13,37,Female,Single,Bachelor's,Self-Employed,92576.01,726.0,1,2,Rent,Asia,Home,97405.45,120,6.44,1103.05,16.97,Approved,On-Time
LN300756,2024-01-13,26,Male,Married,Bachelor's,Self-Employed,19190.93,,0,3,Rent,North America,Business,56417.09,84,9.71,928.16,58.04,Pending,N/A
LN306794,2024-01-13,47,Male,Single,Bachelor's,Business Owner,98535.22,808.0,2,2,Rent,Europe,Debt Consolidation,7769.91,48,8.43,191.26,5.15,Approved,On-Time
LN302615,2024-01-14,24,Male,Married,Bachelor's,Salaried,29674.25,560.0,2,1,Own,North America,Personal,4075.74,36,11.34,134.09,24.0,Pending,N/A
LN304255,2024-01-14,30,Male,Married,Bachelor's,Salaried,30871.32,737.0,0,1,Mortgage,North America,Auto,14990.15,120,6.83,172.74,6.71,Approved,On-Time
LN301107,2024-01-14,32,Male,Divorced,Bachelor's,Salaried,57367.23,651.0,2,1,Rent,Europe,Auto,30841.13,48,9.07,768.51,21.67,Approved,On-Time
LN300672,2024-01-14,43,Male,Single,Master's,Business Owner,148478.71,801.0,1,1,Rent,North America,Medical,5494.02,48,5.09,126.75,2.1,Approved,On-Time
LN303737,2024-01-14,43,Male,Divorced,Bachelor's,Salaried,82685.75,699.0,0,3,Mortgage,Europe,Debt Consolidation,22064.02,48,7.37,532.15,7.72,Approved,On-Time
LN305890,2024-01-14,50,Female,Married,Bachelor's,Self-Employed,25697.11,689.0,2,0,Mortgage,Europe,Home,160446.76,60,7.17,3189.92,95.0,Approved,On-Time
LN301991,2024-01-14,41,Male,Married,Bachelor's,Salaried,,711.0,3,4,Own,Asia,Education,14620.96,12,6.97,1264.9,63.94,Approved,On-Time
LN306148,2024-01-14,58,Female,Widowed,High School,Self-Employed,23192.03,566.0,3,0,Own,Africa,Personal,3189.08,24,10.08,147.28,50.2,Approved,Late Payments
LN304879,2024-01-14,36,Male,Married,High School,Self-Employed,37452.71,709.0,2,1,Mortgage,Africa,Business,69875.47,36,7.07,2159.79,91.07,Approved,On-Time
LN301647,2024-01-14,36,Female,Single,Bachelor's,Salaried,60588.16,729.0,3,0,Own,Asia,Auto,18201.64,12,7.4,1578.29,45.99,Approved,Late Payments
LN306779,2024-01-14,45,Male,Single,Master's,Salaried,75897.14,724.0,5,0,Mortgage,Europe,Home,298923.13,12,6.87,25846.93,95.0,Approved,On-Time
LN303951,2024-01-15,41,Female,Married,Bachelor's,Salaried,15131.91,633.0,2,3,Mortgage,Europe,Personal,16538.65,36,9.48,529.63,56.43,Pending,N/A
LN300685,2024-01-15,27,Male,Single,Bachelor's,Salaried,59317.62,661.0,0,0,Rent,South America,Medical,10055.3,180,8.23,97.43,1.97,Approved,On-Time
LN303389,2024-01-15,45,Female,Single,High School,Self-Employed,,629.0,0,0,Rent,Europe,Personal,17659.34,12,9.08,1544.99,45.48,Approved,Late Payments
LN300290,2024-01-15,21,Male,Widowed,Bachelor's,Salaried,31620.25,660.0,1,5,Own,Australia,Medical,13173.5,24,9.82,606.8,34.83,Approved,On-Time
LN301853,2024-01-15,51,Female,Married,Master's,Salaried,44755.88,705.0,1,3,Rent,North America,Business,53425.03,36,6.61,1640.1,49.95,Pending,N/A
LN306249,2024-01-15,23,Male,Divorced,High School,Salaried,42410.33,635.0,1,0,Own,South America,Business,84956.34,180,9.01,862.19,29.04,Approved,On-Time
LN302424,2024-01-15,53,Female,Married,Bachelor's,Business Owner,69266.24,715.0,2,1,Mortgage,Europe,Auto,18721.91,12,7.72,1626.17,33.46,Pending,N/A
LN302581,2024-01-15,49,Male,Single,High School,Unemployed,8000.0,559.0,0,1,Own,North America,Home,174731.31,240,10.83,1783.38,95.0,Rejected,N/A
LN301509,2024-01-15,25,Male,Married,Bachelor's,Self-Employed,27190.39,640.0,4,0,Own,South America,Business,65613.94,60,9.48,1377.37,87.02,Approved,On-Time
LN306154,2024-01-15,68,Male,Single,Bachelor's,Salaried,30095.97,711.0,0,1,Rent,North America,Auto,31618.27,48,7.87,769.97,30.7,Approved,On-Time
LN305325,2024-01-15,55,Male,Single,Bachelor's,Business Owner,33298.8,824.0,1,1,Rent,Asia,Home,99135.67,60,4.89,1865.82,70.92,Approved,On-Time
LN303626,2024-01-15,50,Female,Single,Master's,Salaried,40814.84,738.0,3,1,Rent,Asia,Auto,23523.85,84,7.53,361.16,37.12,Approved,On-Time
